,title,location,company,salary,city,state,parsed_salary
7354,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7355,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7356,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7357,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7358,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7359,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7360,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7361,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7362,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7363,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7364,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
