,title,location,company,salary,city,state,parsed_salary
7583,Animal Technician Supervisor,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7584,Research Technician,"Houston, TX",MD ANDERSON CANCER CENTER,NaN,Houston,TX,NaN
7585,"Institute Assoc Scientist II - In Vivo Pharma, ORBIT","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7586,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7587,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7588,Machine Learning Expert,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7589,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7590,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7591,Well Cementing Research Scientist,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7592,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7593,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7594,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7595,Well Cementing Research Scientist,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7596,Image Data Scientist (TEC0001XP),"Houston, TX",HX5,NaN,Houston,TX,NaN
7597,Data Scientist – Predictive Analytics,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7598,Machine Learning Expert,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7599,"Institute Assoc Scientist II - Program Biology, ORBIT","Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7600,Project Associate,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7601,Research Technician,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7602,"Institute Assoc Scientist II - In Vivo Pharma, ORBIT","Houston, TX",MD ANDERSON CANCER CENTER,NaN,Houston,TX,NaN
7603,Animal Technician Supervisor,"Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7604,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7605,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7606,Machine Learning Expert,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7607,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7608,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7609,Well Cementing Research Scientist,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
