budget,studio,sound,aspect,color,aspect_ratio
"[u'\nBudget:        $1,400,000        \n\n      (estimated)\n']",[u'Warner Bros.'],[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $910,000        \n\n      (estimated)\n']","[u'Columbia Pictures Corporation', u'Horizon Pictures']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $1,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Patron Inc.']",[u'Mono'],,"[u'Color', u'Color']",[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $2,000,000        \n\n      (estimated)\n']",[u'Toho Company'],"[u'Mono', u'Stereo']",,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $350,000        \n\n      (estimated)\n']",[u'Orion-Nova Productions'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $3,000,000        \n\n      (estimated)\n']","[u'Columbia Pictures Corporation', u'Horizon Pictures (II)']","[u'70 mm 6-Track', u'Mono', u'4-Track Stereo']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
[],"[u'Dino de Laurentiis Cinematografica', u'Les Films Marceau']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.33 : 1\n    ']
"[u'\nBudget:        $935,000        \n\n      (estimated)\n']",[u'Bryna Productions'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $150,000        \n\n      (estimated)\n']",[u'Svensk Filmindustri (SF)'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
[],[u'Svensk Filmindustri (SF)'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $3,000,000        \n\n      (estimated)\n']","[u'Edward Small Productions', u'Metro-Goldwyn-Mayer (MGM)']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $829,000        \n\n      (estimated)\n']",[u'Universal International Pictures (UI)'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $2,479,000        \n\n      (estimated)\n']",[u'Alfred J. Hitchcock Productions'],"[u'Mono', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 1.50 : 1\n    ']
"[u'\nBudget:        $15,900,000        \n\n      (estimated)\n']",[u'Metro-Goldwyn-Mayer (MGM)'],[u'6-Track Stereo'],,[u'Color'],[u'\nAspect Ratio: 2.66 : 1\n    ']
"[u'\nBudget:        $3,101,000        \n\n      (estimated)\n']",[u'Metro-Goldwyn-Mayer (MGM)'],"[u'Mono', u'Dolby SR', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 1.75 : 1\n    ']
[],"[u'Les Films du Carrosse', u'S\xe9dif Productions']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $2,883,848        \n\n      (estimated)\n']","[u'Ashton Productions', u'Mirisch Corporation, The']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $3,000,000        \n\n      (estimated)\n']","[u'Mirisch Corporation, The']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $806,947        \n\n      (estimated)\n']",[u'Shamley Productions'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $3,000,000        \n\n      (estimated)\n']",[u'Roxlom Films Inc.'],"[u'Mono', u'Mono']",,[u' Black and White'],[u'\nAspect Ratio: 1.75 : 1\n    ']
