budget,studio,sound,aspect,color,aspect_ratio
"[u'\nBudget:        $14,400,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Malpaso Productions']",[u'Dolby'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $14,600,000        \n\n      (estimated)\n']",[u'Columbia Pictures Corporation'],[u'Dolby SR'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $13,000,000        \n\n      (estimated)\n']","[u""Hell's Kitchen Films"", u'Universal Pictures']","[u'Dolby', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $63,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'Amblin Entertainment']","[u'Dolby', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $22,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'Amblin Entertainment']","[u'DTS', u'DTS-Stereo']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 1.85 : 1\n    ']
[],[u'Vinay Pictures'],[],,[u'Color'],[]
"[u'\nBudget:        $55,000,000        \n\n      (estimated)\n']",[u'Paramount Pictures'],"[u'DTS', u'Dolby Digital']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $45,000,000        \n\n      (estimated)\n']","[u'Walt Disney Pictures', u'Walt Disney Feature Animation']","[u'Dolby SR', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        FRF\xa0115,000,000        \n\n      (estimated)\n']","[u'Gaumont', u'Les Films du Dauphin']","[u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $8,000,000        \n\n      (estimated)\n']","[u'Miramax', u'A Band Apart', u'Jersey Films']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']",[u'Castle Rock Entertainment'],[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $2,500,000        \n\n      (estimated)\n']","[u'Castle Rock Entertainment', u'Detour Filmproduction', u'Filmhaus Wien Universa Filmproduktions']",[u'Dolby SR'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $72,000,000        \n\n      (estimated)\n']","[u'Icon Entertainment International', u'Ladd Company, The', u'B.H. Finance C.V.']","[u'DTS', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $52,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'Syalis DA', u'L\xe9gende Entreprises']","[u'DTS-Stereo', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        \u20ac2,590,000        \n\n      (estimated)\n']","[u'Canal+', u'Cofinergie 6', u'Egg Pictures']",[u'Dolby SR'],,[u' Black and White'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $60,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Regency Enterprises', u'Forward Pass']","[u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $33,000,000        \n\n      (estimated)\n']","[u'Cecchi Gori Pictures', u'Juno Pix', u'New Line Cinema']","[u'DTS', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $30,000,000        \n\n      (estimated)\n']","[u'Pixar Animation Studios', u'Walt Disney Pictures']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $29,000,001        \n\n      (estimated)\n']","[u'Universal Pictures', u'Atlas Entertainment', u'Classico']","[u'DTS-Stereo', u'DTS', u'Dolby SR']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $6,000,000        \n\n      (estimated)\n']","[u'PolyGram Filmed Entertainment', u'Spelling Films International', u'Blue Parrot']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        TRL\xa01,200,000        \n\n      (estimated)\n']","[u'Artcam International', u'Filma-Cass', u'Geopoly']",[],,[],[]
"[u'\nBudget:        $7,000,000        \n\n      (estimated)\n']","[u'PolyGram Filmed Entertainment', u'Working Title Films']",[u'Dolby SR'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $3,500,000        \n\n      (estimated)\n']","[u'Channel Four Films', u'Figment Films', u'The Noel Gay Motion Picture Company']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $15,000,000        \n\n      (estimated)\n']","[u'Polygram Filmed Entertainment', u'Working Title Films']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $20,000,000        \n\n      (estimated)\n']","[u'Melampo Cinematografica', u'Cecchi Gori Group Tiger Cinematografica']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $180,000        \n\n      (estimated)\n']",[u'The Institute for the Intellectual Development of Children & Young Adults'],[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $10,000,000        \n\n      (estimated)\n']","[u'Be Gentlemen Limited Partnership', u'Lawrence Bender Productions', u'Miramax']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $35,000,000        \n\n      (estimated)\n']","[u'Regency Enterprises', u'Wolper Organization, The', u'Warner Bros.']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        JPY\xa02,400,000,000        \n\n      (estimated)\n']","[u'DENTSU Music And Entertainment', u'Nibariki', u'Nippon Television Network (NTV)']","[u'Dolby Digital', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $60,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Scott Rudin Productions']","[u'DTS', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $7,500,000        \n\n      (estimated)\n']","[u'New Line Cinema', u'Savoy Pictures', u'Turman-Morrissey Company, The']","[u'SDDS', u'Dolby Digital', u'DTS']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $60,000,000        \n\n      (estimated)\n']","[u'Castle Rock Entertainment', u'Darkwoods Productions', u'Warner Bros.']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        \xa3960,000        \n\n      (estimated)\n']","[u'Summit Entertainment', u'Steve Tisch Company, The', u'SKA Films']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $93,000,000        \n\n      (estimated)\n']","[u'New Line Cinema', u'WingNut Films', u'The Saul Zaentz Company']","[u'DTS-ES', u'Dolby Digital EX', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $70,000,000        \n\n      (estimated)\n']","[u'DreamWorks', u'Paramount Pictures', u'Amblin Entertainment']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $63,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Village Roadshow Pictures', u'Groucho II Film Partnership']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $63,000,000        \n\n      (estimated)\n']","[u'Fox 2000 Pictures', u'Regency Enterprises', u'Linson Films']","[u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $94,000,000        \n\n      (estimated)\n']","[u'New Line Cinema', u'WingNut Films', u'The Saul Zaentz Company']","[u'DTS-ES', u'Dolby Digital EX', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $94,000,000        \n\n      (estimated)\n']","[u'New Line Cinema', u'WingNut Films', u'The Saul Zaentz Company']","[u'DTS-ES', u'Dolby Digital EX', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $40,000,000        \n\n      (estimated)\n']","[u'Hollywood Pictures', u'Spyglass Entertainment', u'Kennedy/Marshall Company, The']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $15,000,000        \n\n      (estimated)\n']","[u'DreamWorks', u'Jinks/Cohen Company']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $103,000,000        \n\n      (estimated)\n']","[u'DreamWorks', u'Universal Pictures', u'Scott Free Productions']","[u'SDDS', u'DTS', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $4,500,000        \n\n      (estimated)\n']","[u'Artisan Entertainment', u'Thousand Words', u'Sibling Productions']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $115,000,000        \n\n      (estimated)\n']","[u'Pixar Animation Studios', u'Walt Disney Pictures']","[u'SDDS', u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        \xa36,000,000        \n\n      (estimated)\n']","[u'Columbia Pictures Corporation', u'SKA Films']","[u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $9,000,000        \n\n      (estimated)\n']","[u'Newmarket Capital Group', u'Team Todd', u'I Remember Productions']",[u'Dolby Digital'],,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        FRF\xa077,000,000        \n\n      (estimated)\n']","[u'Claudie Ossard Productions', u'Union G\xe9n\xe9rale Cin\xe9matographique (UGC)', u'Victoires Productions']","[u'DTS', u'Dolby Digital']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
[],[u'A.G. Films'],[u'Dolby Digital'],,[u'Color'],[]
"[u'\nBudget:        $19,000,000        \n\n      (estimated)\n']","[u'Tokuma Shoten', u'Studio Ghibli', u'Nippon Television Network (NTV)']","[u'DTS-ES', u'Dolby Digital EX', u'Dolby', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $2,000,000        \n\n      (estimated)\n']","[u'Altavista Films', u'Zeta Film']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $4,500,000        \n\n      (estimated)\n']","[u'Pandora Cinema', u'Flower Films (II)', u'Adam Fields Productions']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $35,000,000        \n\n      (estimated)\n']","[u'R.P. Productions', u'Heritage Films', u'Studio Babelsberg']","[u'DTS', u'Dolby Digital']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $52,000,000        \n\n      (estimated)\n']","[u'DreamWorks', u'Kemp Company', u'Splendid Pictures']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $94,000,000        \n\n      (estimated)\n']","[u'Pixar Animation Studios', u'Walt Disney Pictures']","[u'DTS-ES', u'Dolby Digital EX', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $30,000,000        \n\n      (estimated)\n']","[u'Miramax', u'A Band Apart', u'Super Cool ManChu']","[u'DTS', u'Dolby Digital', u'SDDS']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $58,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'DreamWorks', u'Imagine Entertainment']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $3,300,000        \n\n      (estimated)\n']","[u'O2 Filmes', u'VideoFilmes', u'Globo Filmes']","[u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $140,000,000        \n\n      (estimated)\n']","[u'Walt Disney Pictures', u'Jerry Bruckheimer Films']","[u'Dolby Digital EX', u'SDDS', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $20,000,000        \n\n      (estimated)\n']","[u'Focus Features', u'Anonymous Content', u'This Is That Productions']","[u'DTS', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $6,428,966        \n\n      (estimated)\n']","[u'Media Asia Films', u'Basic Pictures']",[u'Dolby Digital'],,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $24,000,000        \n\n      (estimated)\n']","[u'Buena Vista Home Entertainment', u'DENTSU Music And Entertainment', u'Mitsubishi']","[u'Dolby Digital EX', u'DTS-ES', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $2,800,000        \n\n      (estimated)\n']","[u'CJ Entertainment', u'Muhan Investment', u'Sidus']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $75,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'Weinstein Company, The', u'A Band Apart']","[u'SDDS', u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        \u20ac13,500,000        \n\n      (estimated)\n']","[u'Constantin Film Produktion', u'Norddeutscher Rundfunk (NDR)', u'Westdeutscher Rundfunk (WDR)']","[u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $3,000,000        \n\n      (estimated)\n']","[u'Egg Films', u'Show East']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $150,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Syncopy', u'DC Comics']","[u'DTS', u'Dolby Digital', u'SDDS', u'Sonics-DDP']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
[],[u'Vinod Chopra Productions'],[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $17,500,000        \n\n      (estimated)\n']","[u'United Artists', u'Lions Gate Films', u'Industrial Development Corporation of South Africa']","[u'DTS', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $2,000,000        \n\n      (estimated)\n']","[u'Wiedemann & Berg Filmproduktion', u'Bayerischer Rundfunk (BR)', u'Arte']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $30,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Lakeshore Entertainment', u'Malpaso Productions']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
[],"[u'ROMP', u'UTV Motion Pictures']","[u'DTS', u'Dolby Digital EX']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $90,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Plan B Entertainment', u'Initial Entertainment Group (IEG)']","[u'Dolby Digital', u'SDDS', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $54,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Virtual Studios', u'Silver Pictures']","[u'DTS', u'Dolby Digital', u'SDDS', u'Sonics-DDP']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $200,000,000        \n\n      (estimated)\n']","[u'Walt Disney Pictures', u'Pixar Animation Studios']","[u'DTS', u'Dolby Digital EX', u'SDDS', u'Sonics-DDP', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $110,000,000        \n\n      (estimated)\n']","[u'Universal Pictures', u'Motion Picture BETA Produktionsgesellschaft', u'Kennedy/Marshall Company, The']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        \u20ac13,500,000        \n\n      (estimated)\n']","[u'Estudios Picasso', u'Tequila Gang', u'Esperanto Filmoj']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $185,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Legendary Entertainment', u'Syncopy']","[u'Dolby Digital', u'SDDS', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']","[u'Paramount Vantage', u'Miramax', u'Ghoulardi Film Company']","[u'SDDS', u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
[],[u'Avsar Film'],[],,[u'Color'],[]
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']","[u'Paramount Vantage', u'Miramax', u'Scott Rudin Productions']","[u'SDDS', u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $40,000,000        \n\n      (estimated)\n']","[u'Touchstone Pictures', u'Warner Bros.', u'Newmarket Productions']","[u'SDDS', u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $15,000,000        \n\n      (estimated)\n']","[u'Paramount Vantage', u'Art Linson Productions', u'Into the Wild']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $165,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Warner Bros.', u'Legendary Entertainment']","[u'Datasat', u'Dolby Digital', u'IMAX 6-Track']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $165,000,000        \n\n      (estimated)\n']","[u'DreamWorks Animation', u'Mad Hatter Entertainment', u'Vertigo Entertainment']","[u'Dolby Digital', u'DTS', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $180,000,000        \n\n      (estimated)\n']","[u'Pixar Animation Studios', u'Walt Disney Pictures']","[u'DTS-ES', u'SDDS', u'Dolby Digital EX']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        AUD\xa08,240,000        \n\n      (estimated)\n']",[u'Melodrama Pictures'],[u'Dolby Digital'],,"[u'Color', u' Black and White']",[u'\nAspect Ratio: 1.85 : 1\n    ']
[],"[u'Aamir Khan Productions', u'PVR Pictures']","[u'DTS', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $100,000,000        \n\n      (estimated)\n']","[u'Red Granite Pictures', u'Appian Way', u'Sikelia Productions']","[u'Datasat', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $16,000,000        \n\n      (estimated)\n']","[u'Stage 6 Films', u'Inferno Distribution', u'Hachiko']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $175,000,000        \n\n      (estimated)\n']","[u'Pixar Animation Studios', u'Walt Disney Pictures']","[u'SDDS', u'Dolby Digital EX', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $80,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Phoenix Pictures', u'Sikelia Productions']","[u'SDDS', u'Dolby Digital', u'DTS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        INR\xa0550,000,000        \n\n      (estimated)\n']",[u'Vinod Chopra Productions'],[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $125,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Heyday Films', u'Moving Picture Company (MPC)']","[u'Dolby Digital', u'DTS', u'Dolby', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $33,000,000        \n\n      (estimated)\n']","[u'Matten Productions', u'Double Nickel Entertainment', u'Gerber Pictures']","[u'DTS', u'Dolby Digital', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $6,800,000        \n\n      (estimated)\n']","[u'micro_scope', u'TS Productions', u'Phi Group']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
[],"[u'Anjum Rizvi Film Company', u'Friday Filmworks', u'UTV Motion Pictures']",[u'Dolby Digital'],,[u'Color'],[]
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']","[u'Lionsgate', u'Mimran Schur Pictures', u'Solaris']","[u'Dolby Digital', u'Datasat', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $2,000,000        \n\n      (estimated)\n']","[u'Tornasol Films', u'Haddock Films', u'100 Bares']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $250,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Legendary Entertainment', u'DC Entertainment']","[u'SDDS', u'Datasat', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $160,000,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Legendary Entertainment', u'Syncopy']","[u'Dolby Digital', u'DTS', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $150,000,000        \n\n      (estimated)\n']","[u'Warner Bros. Pictures', u'Warner Bros. Pictures', u'Village Roadshow Pictures']","[u'Dolby Digital', u'Datasat', u'SDDS', u'Dolby Atmos']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $46,000,000        \n\n      (estimated)\n']","[u'Alcon Entertainment', u'8:38 Productions', u'Madhouse Entertainment']","[u'SDDS', u'Datasat', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']","[u'DreamWorks', u'Reliance Entertainment', u'Participant Media']","[u'Dolby Digital', u'SDDS', u'Datasat']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        \u20ac9,500,000        \n\n      (estimated)\n']","[u'Quad Productions', u'Ten Films', u'Canal+']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $500,000        \n\n      (estimated)\n']","[u'Asghar Farhadi Productions', u'Dreamlab Films', u'MPA APSA Academy Film Fund']",[u'Dolby SR'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $100,000,000        \n\n      (estimated)\n']","[u'Weinstein Company, The', u'Columbia Pictures']","[u'SDDS', u'Datasat', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $20,000,000        \n\n      (estimated)\n']","[u'Participant Media', u'First Look Media', u'Anonymous Content']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        INR\xa0184,000,000        \n\n      (estimated)\n']","[u'Jar Pictures', u'AKFPL', u'Bohra Bros Productions']","[u'Dolby Digital', u'Datasat']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $38,000,000        \n\n      (estimated)\n']","[u'Exclusive Media Group', u'Cross Creek Pictures', u'Imagine Entertainment']","[u'Dolby Digital', u'Datasat', u'SDDS']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $20,000,000        \n\n      (estimated)\n']","[u'Regency Enterprises', u'River Road Entertainment', u'Plan B Entertainment']",[u'Dolby'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $14,000,000        \n\n      (estimated)\n']","[u'Black Bear Pictures', u'Bristol Automotive']",[u'Dolby Digital'],,"[u'Color', u' Black and White']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $175,000,000        \n\n      (estimated)\n']","[u'Pixar Animation Studios', u'Walt Disney Pictures']","[u'Dolby Digital', u'Datasat', u'Dolby Atmos']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $3,800,000        \n\n      (estimated)\n']","[u'Danmarks Radio (DR)', u'Det Danske Filminstitut', u'Eurimages']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $40,000,000        \n\n      (estimated)\n']","[u'Cross Creek Pictures', u'IM Global', u'Icon Productions']","[u'Dolby Digital', u'Dolby Surround 7.1', u'Dolby Atmos']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $61,000,000        \n\n      (estimated)\n']","[u'Twentieth Century Fox Film Corporation', u'Regency Enterprises', u'TSG Entertainment']",[u'Dolby Digital'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']","[u'Fox Searchlight Pictures', u'Indian Paintbrush', u'Studio Babelsberg']","[u'SDDS', u'Datasat', u'Dolby Digital']",,"[u'Color', u' Black and White']",[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $245,000,000        \n\n      (estimated)\n']","[u'Lucasfilm', u'Bad Robot', u'Truenorth Productions']","[u'12-Track Digital Sound', u'Dolby Atmos', u'Dolby Surround 7.1', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $3,300,000        \n\n      (estimated)\n']","[u'Bold Films', u'Blumhouse Productions', u'Right of Way Films']","[u'Dolby Digital', u'SDDS', u'Datasat']",,[u'Color'],[u'\nAspect Ratio: 2.40 : 1\n    ']
