,title,location,company,city,state,parsed_salary
121,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
122,Healthcare Financial Statistician,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
123,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
124,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
125,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
126,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
127,Financial Statistician Healthcare,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
128,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
129,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
130,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
131,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
132,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
133,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
134,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
135,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
136,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
137,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
138,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
139,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
140,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
141,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
142,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
143,Quantitative Analyst,"Houston, TX",Baylor College of Medicine,Houston,TX,32454.5
144,Quantitative Analyst,"Houston, TX",Baylor College of Medicine,Houston,TX,49506.0
145,Data Scientist – Predictive Analytics,"Houston, TX",Oscar Technology,Houston,TX,160000.0
