,title,location,company,salary,city,state
57,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
58,Machine Learning for Autonomous Vehicles Research Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI
59,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
60,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
61,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
62,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
63,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
64,Machine Learning for Autonomous Vehicles Research Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI
65,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
66,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
67,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
68,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
69,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
70,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
71,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
72,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
73,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
74,Machine Learning for Autonomous Vehicles Research Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI
75,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
76,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
77,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
78,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
79,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
80,Machine Learning for Autonomous Vehicles Research Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
81,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
82,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
83,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
84,Marketing Research Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
85,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
86,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
87,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
88,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
89,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
90,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
91,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
92,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
93,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
94,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
95,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
96,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
97,Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
98,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
99,Marketing Research Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
100,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
101,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
102,Data Analytical Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
