,title,location,company,salary,city,state,parsed_salary
1543,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1544,Data Scientist – Predictive Analytics,"Pasadena, CA",Kaiser Permanente,NaN,Los Angeles,CA,NaN
1545,Senior Machine Learning Engineer,"Los Angeles, CA","Exact Staff, Inc.","$90,000 a year",Los Angeles,CA,90000.0
1546,Supply Chain Optimization Scientist,"Glendale, CA",Nestlé USA,NaN,Los Angeles,CA,NaN
1547,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1548,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1549,Data Scientist – Predictive Analytics,"Calabasas, CA",Informa Business Intelligence,NaN,Los Angeles,CA,NaN
1550,Senior Machine Learning Engineer,"Duarte, CA 91010",City Of Hope,NaN,Los Angeles,CA,NaN
1551,Supply Chain Optimization Scientist,"Glendale, CA",Nestlé USA,NaN,Los Angeles,CA,NaN
1552,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1553,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1554,Data Scientist – Predictive Analytics,"Los Angeles, CA",UCLA Health,NaN,Los Angeles,CA,NaN
1555,Senior Machine Learning Engineer,"Los Angeles, CA",INTERA,NaN,Los Angeles,CA,NaN
1556,Supply Chain Optimization Scientist,"Glendale, CA",Nestlé USA,NaN,Los Angeles,CA,NaN
1557,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1558,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1559,Data Scientist – Predictive Analytics,"Los Angeles, CA",The Boston Consulting Group,NaN,Los Angeles,CA,NaN
1560,Senior Machine Learning Engineer,"Los Angeles, CA 90048",Intelletec LLC,"$180,000 a year",Los Angeles,CA,180000.0
1561,Supply Chain Optimization Scientist,"Glendale, CA",Nestlé USA,NaN,Los Angeles,CA,NaN
1562,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1563,"Director, Advanced Analytics Solutions","Glendale, CA 91203","Health Net, Inc.",NaN,Los Angeles,CA,NaN
1564,Data Scientist – Predictive Analytics,"Torrance, CA",Futuretech Staffing,"$110,000 a year",Los Angeles,CA,110000.0
1565,Senior Machine Learning Engineer,"El Segundo, CA",ManTech International Corporation,NaN,Los Angeles,CA,NaN
1566,Supply Chain Optimization Scientist,"Glendale, CA",Nestlé USA,NaN,Los Angeles,CA,NaN
1567,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1568,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1569,Data Scientist – Predictive Analytics,"Torrance, CA",Zigatta,NaN,Los Angeles,CA,NaN
1570,Senior Machine Learning Engineer,"Los Angeles, CA",MarketShare,NaN,Los Angeles,CA,NaN
1571,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1572,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1573,Data Scientist – Predictive Analytics,"Santa Monica, CA",Rubin Postaer and Associates (RPA),NaN,Los Angeles,CA,NaN
1574,Supply Chain Optimization Scientist,"Los Angeles, CA",MarketShare,NaN,Los Angeles,CA,NaN
1575,Senior Machine Learning Engineer,"Brea, CA 92821","Beckman Coulter, Inc.",NaN,Los Angeles,CA,NaN
1576,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1577,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1578,Data Scientist – Predictive Analytics,"Woodland Hills, CA 91367","Health Net, Inc.",NaN,Los Angeles,CA,NaN
1579,Supply Chain Optimization Scientist,"Santa Monica, CA",Astellas Pharmaceuticals,NaN,Los Angeles,CA,NaN
1581,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1582,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1583,Data Scientist – Predictive Analytics,"El Segundo, CA 90245",The Aerospace Corporation,NaN,Los Angeles,CA,NaN
1584,Supply Chain Optimization Scientist,"Pasadena, CA",Oben,NaN,Los Angeles,CA,NaN
