genre
"['Crime', 'Drama']"
"['Crime', 'Drama']"
"['Crime', 'Drama']"
"['Action', 'Adventure', 'Crime']"
"['Biography', 'Drama', 'History']"
"['Crime', 'Drama']"
"['Crime', 'Drama']"
"['Action', 'Adventure', 'Drama']"
['Western']
['Drama']
"['Action', 'Adventure', 'Drama']"
"['Action', 'Adventure', 'Fantasy']"
"['Drama', 'Romance']"
"['Action', 'Adventure', 'Sci-Fi']"
"['Action', 'Adventure', 'Drama']"
['Drama']
"['Biography', 'Crime', 'Drama']"
"['Action', 'Sci-Fi']"
"['Action', 'Adventure', 'Drama']"
"['Action', 'Adventure', 'Fantasy']"
"['Crime', 'Drama']"
"['Crime', 'Drama', 'Mystery']"
"['Crime', 'Drama', 'Horror']"
"['Drama', 'Family', 'Fantasy']"
"['Crime', 'Drama', 'Mystery']"
"['Comedy', 'Drama', 'Romance']"
"['Crime', 'Drama', 'Thriller']"
['Western']
"['Animation', 'Adventure', 'Family']"
"['Action', 'Drama', 'War']"
"['Crime', 'Drama']"
"['Adventure', 'Drama', 'Sci-Fi']"
"['Drama', 'Romance', 'War']"
"['Horror', 'Mystery', 'Thriller']"
"['Comedy', 'Drama', 'Romance']"
"['Action', 'Adventure']"
"['Biography', 'Comedy', 'Drama']"
"['Comedy', 'Drama']"
"['Crime', 'Drama', 'Fantasy']"
"['Mystery', 'Thriller']"
"['Action', 'Adventure', 'Sci-Fi']"
"['Crime', 'Drama', 'Thriller']"
"['Biography', 'Drama', 'War']"
"['Adventure', 'Comedy', 'Sci-Fi']"
"['Drama', 'Music']"
"['Action', 'Drama']"
"['Mystery', 'Thriller']"
"['Drama', 'War']"
"['Drama', 'Mystery', 'Sci-Fi']"
"['Animation', 'Adventure', 'Drama']"
['Comedy']
"['Drama', 'Film-Noir', 'Romance']"
"['Horror', 'Sci-Fi']"
"['Comedy', 'Drama', 'War']"
"['Drama', 'Thriller']"
['Drama']
"['Drama', 'War']"
"['Drama', 'Western']"
"['Drama', 'Horror']"
"['Animation', 'Drama', 'War']"
"['Animation', 'Adventure', 'Family']"
"['Action', 'Thriller']"
['Drama']
"['Action', 'Adventure', 'Sci-Fi']"
"['Animation', 'Adventure', 'Fantasy']"
"['Drama', 'Mystery', 'Thriller']"
"['Drama', 'Mystery']"
"['Crime', 'Drama']"
"['Action', 'Adventure', 'Crime']"
"['Adventure', 'Drama', 'Thriller']"
"['Mystery', 'Romance', 'Thriller']"
"['Crime', 'Drama', 'Mystery']"
"['Action', 'Adventure', 'Fantasy']"
"['Crime', 'Drama', 'Mystery']"
"['Crime', 'Drama', 'Thriller']"
"['Biography', 'Drama', 'History']"
"['Comedy', 'Romance']"
['Drama']
"['Crime', 'Drama', 'Sci-Fi']"
"['Crime', 'Drama']"
"['Crime', 'Drama', 'Film-Noir']"
"['Animation', 'Adventure', 'Comedy']"
"['Adventure', 'Biography', 'Drama']"
"['Crime', 'Drama']"
"['Drama', 'Romance', 'Sci-Fi']"
"['Biography', 'Drama', 'History']"
"['Drama', 'War']"
"['Comedy', 'Crime', 'Drama']"
"['Adventure', 'Mystery', 'Sci-Fi']"
['Drama']
"['Comedy', 'Musical', 'Romance']"
"['Animation', 'Adventure', 'Comedy']"
"['Comedy', 'Crime']"
"['Adventure', 'Drama', 'War']"
"['Adventure', 'Comedy', 'Fantasy']"
"['Comedy', 'Drama', 'Family']"
"['Crime', 'Drama', 'Mystery']"
['Western']
"['Comedy', 'Drama', 'Romance']"
"['Crime', 'Drama']"
"['Crime', 'Drama']"
"['Action', 'Adventure', 'Fantasy']"
"['Drama', 'Mystery']"
"['Drama', 'Sci-Fi']"
['Drama']
"['Comedy', 'Drama']"
"['Comedy', 'Drama', 'Thriller']"
['Drama']
"['Action', 'Adventure']"
"['Adventure', 'Drama', 'Western']"
['Drama']
"['Adventure', 'Comedy', 'Crime']"
"['Animation', 'Adventure', 'Comedy']"
"['Drama', 'Western']"
"['Film-Noir', 'Mystery', 'Thriller']"
